model,recall,precision,fmeasure,correct (TP+FN),identified (TP+FP)
B-SZZ,0.70,0.64,0.67,10,11
AG-SZZ,0.70,0.70,0.70,10,10
L-SZZ,0.40,0.67,0.50,10,6
MA-SZZ,0.70,0.58,0.64,10,12
